text,label
"From: security@paypal.com Subject: Verify your account immediately. Click here: http://paypal-login-security.com",1
"From: hr@company.com Subject: Your interview schedule Dear Applicant, your interview is confirmed for Monday.",0
"From: alerts@bank.com Subject: Urgent password update needed. Reset here: http://secure-bank-login.com",1
"From: newsletter@shopping.com Subject: Weekly discounts Visit https://shopping.com/deals for details.",0
"From: admin@payments.com Subject: Account locked, download attachment to continue: AccountUpdate.exe",1
"From: info@university.edu Subject: Orientation Details Orientation begins October 7. More info: https://university.edu/orientation",0
"From: credit@card.com Subject: Confirm your card now at http://credit-update.com",1
"From: orders@amazon.com Subject: Order shipped Track: https://amazon.com/track12345",0
"From: it@support.com Subject: Reset email password here: http://fake-it-support.com",1
"From: noreply@linkedin.com Subject: New connection request Visit https://linkedin.com/connection",0
"From: apple@secure.com Subject: Verify your Apple ID http://appleid-login-security.com",1
"From: events@council.gov Subject: Community Event This Saturday at 9 AM.",0
"From: accounts@netflix.com Subject: Payment failed Update at http://netflix-pay-update.com",1
"From: support@airline.com Subject: Flight booking confirmed Ticket: https://airline.com/ticket123",0
"From: win@lottery.com Subject: Congratulations! Claim prize at http://claim-prize-now.com",1
"From: library@college.edu Subject: Book return reminder Due Friday.",0
"From: support@ebay.com Subject: Confirm your purchase",0
"From: fraud@bank-secure.com Subject: Suspicious login detected http://bankverify-login.com",1
"From: student@uni.edu Subject: Exam schedule published Check portal: https://uni.edu/exams",0
"From: admin@secureaccess.com Subject: Verify details urgently http://fake-secure-access.com",1
"From: info@health.gov Subject: Free vaccination program details at https://health.gov/vaccines",0
"From: update@securemail.com Subject: Mailbox exceeded quota Reset now: http://mail-quota-reset.com",1
"From: contact@conference.org Subject: Registration confirmed for Tech Conference 2025.",0
"From: billing@fakebank.com Subject: Account suspended Visit http://bank-fake-update.com",1
"From: tickets@cinema.com Subject: Your movie tickets Download at https://cinema.com/tickets",0
"From: urgent@payment.com Subject: Payment overdue, pay now http://payment-update-secure.com",1
"From: registrar@school.edu Subject: Enrollment confirmation letter",0
"From: admin@phishingsite.com Subject: Confirm login now http://secure-login-phish.com",1
"From: coach@sportsclub.org Subject: Training schedule updated See portal.",0
"From: accounts@onlineshop.com Subject: Your purchase receipt attached",0
"From: verify@scam.com Subject: Update credentials immediately http://scam-update-login.com",1
"From: hr@itfirm.com Subject: Internship confirmation",0
"From: security@globalbank.com Subject: Reset password here http://globalbank-login-reset.com",1
"From: jobs@careerfair.org Subject: Job fair registration details",0
"From: support@phishalert.com Subject: Urgent! Login required http://phish-alert-login.com",1
"From: clerk@govoffice.gov Subject: Tax filing reminder due next month.",0
"From: secure@fakebank.com Subject: Account compromised http://fakebank-secure.com",1
"From: team@sportsclub.org Subject: Match schedule for October",0
"From: billing@fraudsite.com Subject: Verify billing info now http://fraud-billing.com",1
"From: faculty@college.edu Subject: Class cancellation notice",0
"From: updates@musicapp.com Subject: Your subscription renewed successfully",0
"From: admin@malicious.com Subject: Security check required http://malicious-login.com",1
"From: helpdesk@realcompany.com Subject: Scheduled maintenance notice",0
"From: phishing@fakeemail.com Subject: Account update needed http://phish-update.com",1
"From: pr@nonprofit.org Subject: Charity event invitation",0
"From: confirm@fraudmail.com Subject: Verify identity http://fraud-check.com",1
"From: travel@agency.com Subject: Holiday booking confirmed",0
"From: account@scamportal.com Subject: Login urgently http://scamportal-login.com",1
"From: office@community.org Subject: Meeting agenda attached",0
"From: fraud@phishingmail.com Subject: Suspicious activity detected http://fraud-mail.com",1
"From: news@newspaper.com Subject: Daily news update",0
"From: admin@fakeupdate.com Subject: System update required http://fakeupdate-login.com",1
"From: admissions@uni.edu Subject: Scholarship application approved",0
"From: secure@phishalert.com Subject: Urgent security issue http://phishalert-update.com",1
"From: info@company.org Subject: Annual report attached",0
"From: scam@security.com Subject: Confirm password http://scam-security.com",1
"From: contact@conference.edu Subject: Keynote schedule update",0
"From: alert@fraudmail.com Subject: Account blocked http://fraudmail-login.com",1
"From: hr@enterprise.com Subject: Job confirmation letter",0
"From: security@fakesite.com Subject: Reset now http://fakesite-reset.com",1
"From: news@university.edu Subject: Semester newsletter",0
"From: noreply@shopping.com Subject: Order confirmed with tracking https://shopping.com/track",0
"From: phishing@alert.com Subject: Account suspended http://phishing-login.com",1
"From: it@helpdesk.com Subject: Maintenance complete servers restored",0
"From: verify@scamalert.com Subject: Verify ID http://scam-id.com",1
"From: sales@store.com Subject: Your invoice for purchase #4567",0
"From: fake@phishmail.com Subject: Urgent response needed http://phishmail-urgent.com",1
"From: admin@legitcompany.com Subject: Holiday notice for employees",0
"From: fraud@scamdomain.com Subject: Confirm banking info http://scam-bank.com",1
"From: careers@uni.edu Subject: Internship results announced",0
"From: phishing@secure.com Subject: Security alert login here http://secure-phish.com",1
"From: support@healthclinic.org Subject: Appointment reminder",0
"From: update@fraudalert.com Subject: Payment details required http://fraudalert-payment.com",1
"From: info@library.edu Subject: Library card renewal due soon",0
"From: phishing@fakeportal.com Subject: Urgent account update http://fakeportal-update.com",1
"From: events@cultural.org Subject: Festival schedule for November",0
"From: alert@scammail.com Subject: Immediate login required http://scammail-login.com",1
"From: contact@bank.edu Subject: Official newsletter from bank",0
"From: admin@phishing.com Subject: Password reset now http://phishing-passreset.com",1
"From: noreply@airline.com Subject: Check-in open for your flight",0
"From: fake@fraudmail.com Subject: Login urgently http://fraud-login.com",1
"From: registrar@school.edu Subject: Class enrollment confirmation",0
"From: scam@fakeupdate.com Subject: Update system immediately http://fakeupdate-system.com",1
"From: info@ngo.org Subject: Thank you for your donation",0
"From: urgent@scam.com Subject: Account verification http://scam-verification.com",1
"From: faculty@university.edu Subject: Semester results available on portal",0
